id,title_id,provider_id
1_tm49280,tm49280,1
1_tm841100,tm841100,1
1_tm153059,tm153059,1
1_tm177224,tm177224,1
1_tm236391,tm236391,1
1_tm971295,tm971295,1
1_tm1022165,tm1022165,1
1_tm23441,tm23441,1
1_tm79594,tm79594,1
1_tm44812,tm44812,1
1_tm253245,tm253245,1
1_ts129381,ts129381,1
1_tm117678,tm117678,1
1_ts34453,ts34453,1
1_tm359931,tm359931,1
1_ts270371,ts270371,1
1_tm32643,tm32643,1
1_tm44391,tm44391,1
1_tm462550,tm462550,1
1_tm995128,tm995128,1
1_tm450801,tm450801,1
1_tm569360,tm569360,1
1_tm149132,tm149132,1
1_tm145634,tm145634,1
1_tm1106926,tm1106926,1
1_ts63471,ts63471,1
1_tm211121,tm211121,1
1_tm137238,tm137238,1
1_tm133090,tm133090,1
1_tm1150086,tm1150086,1
1_tm52890,tm52890,1
1_tm23229,tm23229,1
1_tm103443,tm103443,1
1_tm821883,tm821883,1
1_ts29764,ts29764,1
1_tm80329,tm80329,1
1_tm350086,tm350086,1
1_tm3367,tm3367,1
1_tm157419,tm157419,1
1_tm368960,tm368960,1
1_tm254666,tm254666,1
1_tm1072559,tm1072559,1
1_tm757472,tm757472,1
1_tm111056,tm111056,1
1_tm52843,tm52843,1
1_tm857922,tm857922,1
1_tm458617,tm458617,1
1_tm174257,tm174257,1
1_tm149502,tm149502,1
1_tm47405,tm47405,1
1_tm1099582,tm1099582,1
1_tm137586,tm137586,1
1_tm40169,tm40169,1
1_tm120884,tm120884,1
1_ts114514,ts114514,1
1_tm91085,tm91085,1
1_tm121391,tm121391,1
1_tm1059048,tm1059048,1
1_tm270472,tm270472,1
1_tm17503,tm17503,1
1_tm140223,tm140223,1
1_tm323247,tm323247,1
1_tm1023211,tm1023211,1
1_tm47773,tm47773,1
1_tm1071706,tm1071706,1
1_tm876614,tm876614,1
1_tm448704,tm448704,1
1_ts14391,ts14391,1
1_tm912210,tm912210,1
1_ts95763,ts95763,1
1_tm150620,tm150620,1
1_tm210162,tm210162,1
1_tm215654,tm215654,1
1_tm126372,tm126372,1
1_tm1054079,tm1054079,1
1_tm157700,tm157700,1
1_tm123621,tm123621,1
1_tm297942,tm297942,1
1_tm185705,tm185705,1
1_ts26708,ts26708,1
1_ts10793,ts10793,1
1_tm188187,tm188187,1
1_tm1105926,tm1105926,1
1_tm912112,tm912112,1
1_tm33038,tm33038,1
1_tm416887,tm416887,1
1_tm104962,tm104962,1
1_tm116331,tm116331,1
1_ts33254,ts33254,1
1_tm115358,tm115358,1
1_tm161073,tm161073,1
1_tm206600,tm206600,1
1_tm812511,tm812511,1
1_tm68156,tm68156,1
1_tm273210,tm273210,1
1_tm191223,tm191223,1
1_tm20621,tm20621,1
1_tm412937,tm412937,1
1_tm3781,tm3781,1
1_tm91729,tm91729,1
1_tm814886,tm814886,1
1_tm233483,tm233483,1
1_tm1036274,tm1036274,1
1_tm847100,tm847100,1
1_tm955652,tm955652,1
1_tm368838,tm368838,1
1_tm184437,tm184437,1
1_tm1009913,tm1009913,1
1_tm21252,tm21252,1
1_tm305486,tm305486,1
1_tm167019,tm167019,1
1_tm127578,tm127578,1
1_tm307976,tm307976,1
1_ts313840,ts313840,1
1_tm11620,tm11620,1
1_tm473129,tm473129,1
1_tm428273,tm428273,1
1_tm14949,tm14949,1
1_tm49173,tm49173,1
1_tm184994,tm184994,1
1_ts223803,ts223803,1
1_tm6542,tm6542,1
1_tm815775,tm815775,1
1_ts79160,ts79160,1
1_tm1102187,tm1102187,1
1_tm1047437,tm1047437,1
1_tm64177,tm64177,1
1_ts137676,ts137676,1
1_tm537494,tm537494,1
1_tm50719,tm50719,1
1_tm1040741,tm1040741,1
1_ts19439,ts19439,1
1_tm63131,tm63131,1
1_tm41259,tm41259,1
1_tm76311,tm76311,1
1_tm162351,tm162351,1
1_tm589732,tm589732,1
1_ts37645,ts37645,1
1_tm470753,tm470753,1
1_tm99314,tm99314,1
1_tm864731,tm864731,1
1_tm96955,tm96955,1
1_tm72444,tm72444,1
1_tm420666,tm420666,1
1_tm7748,tm7748,1
1_tm53436,tm53436,1
1_tm867177,tm867177,1
1_ts208323,ts208323,1
1_tm10737,tm10737,1
1_tm944157,tm944157,1
1_tm816634,tm816634,1
1_ts196,ts196,1
1_tm342130,tm342130,1
1_ts252101,ts252101,1
1_tm20098,tm20098,1
1_tm154544,tm154544,1
1_tm516069,tm516069,1
1_ts20040,ts20040,1
1_ts24149,ts24149,1
1_tm139109,tm139109,1
1_tm207548,tm207548,1
1_tm465442,tm465442,1
1_tm114410,tm114410,1
1_tm59356,tm59356,1
1_tm109421,tm109421,1
1_tm363861,tm363861,1
1_tm479316,tm479316,1
1_tm30736,tm30736,1
1_tm824347,tm824347,1
1_tm91497,tm91497,1
1_tm1048658,tm1048658,1
1_tm82196,tm82196,1
1_tm100746,tm100746,1
1_tm854953,tm854953,1
1_tm64029,tm64029,1
1_tm23271,tm23271,1
1_ts9913,ts9913,1
1_ts151280,ts151280,1
1_ts13300,ts13300,1
1_tm29407,tm29407,1
1_tm232815,tm232815,1
1_tm264908,tm264908,1
1_tm129271,tm129271,1
1_tm126200,tm126200,1
1_tm182670,tm182670,1
1_tm1068388,tm1068388,1
1_tm200519,tm200519,1
1_tm29788,tm29788,1
1_tm137795,tm137795,1
1_tm405539,tm405539,1
1_tm352882,tm352882,1
1_tm139401,tm139401,1
1_tm370899,tm370899,1
1_tm43918,tm43918,1
1_ts81219,ts81219,1
1_tm405360,tm405360,1
1_tm1060917,tm1060917,1
1_tm26328,tm26328,1
1_ts55748,ts55748,1
1_tm54261,tm54261,1
1_tm233711,tm233711,1
1_tm931843,tm931843,1
1_tm112960,tm112960,1
1_ts236619,ts236619,1
1_ts286883,ts286883,1
1_tm143803,tm143803,1
1_tm72938,tm72938,1
1_tm159958,tm159958,1
1_tm1122412,tm1122412,1
1_tm497684,tm497684,1
1_tm80250,tm80250,1
1_tm1075153,tm1075153,1
1_tm108374,tm108374,1
1_tm931221,tm931221,1
1_tm308363,tm308363,1
1_tm310535,tm310535,1
1_tm83260,tm83260,1
1_tm151883,tm151883,1
1_tm168974,tm168974,1
1_tm436038,tm436038,1
1_tm160055,tm160055,1
1_tm819666,tm819666,1
1_tm247568,tm247568,1
1_tm325609,tm325609,1
1_tm1027957,tm1027957,1
1_tm305136,tm305136,1
1_tm171757,tm171757,1
1_tm313723,tm313723,1
1_tm538062,tm538062,1
1_tm245986,tm245986,1
1_tm372754,tm372754,1
1_ts84145,ts84145,1
1_tm57336,tm57336,1
1_ts83252,ts83252,1
1_tm28756,tm28756,1
1_tm94880,tm94880,1
1_tm911463,tm911463,1
1_ts317425,ts317425,1
1_tm240818,tm240818,1
1_tm135847,tm135847,1
1_tm556639,tm556639,1
1_tm37380,tm37380,1
1_tm447909,tm447909,1
1_tm164605,tm164605,1
1_tm15579,tm15579,1
1_tm271357,tm271357,1
1_tm163483,tm163483,1
1_tm213468,tm213468,1
1_tm327142,tm327142,1
1_tm1072947,tm1072947,1
1_tm97810,tm97810,1
1_tm947278,tm947278,1
1_tm1043367,tm1043367,1
1_tm1120115,tm1120115,1
1_ts307632,ts307632,1
1_tm461107,tm461107,1
1_tm127370,tm127370,1
1_tm116740,tm116740,1
1_tm466117,tm466117,1
1_ts223059,ts223059,1
1_tm34534,tm34534,1
1_tm150462,tm150462,1
1_tm34871,tm34871,1
1_tm822371,tm822371,1
1_tm769632,tm769632,1
1_tm496626,tm496626,1
1_tm37175,tm37175,1
1_tm29384,tm29384,1
1_tm832144,tm832144,1
1_ts115571,ts115571,1
1_tm201339,tm201339,1
1_tm214506,tm214506,1
1_ts237051,ts237051,1
1_tm59956,tm59956,1
1_tm81862,tm81862,1
1_tm369423,tm369423,1
1_tm1079945,tm1079945,1
1_ts161307,ts161307,1
1_tm117519,tm117519,1
1_tm158,tm158,1
1_tm5162,tm5162,1
1_tm446769,tm446769,1
1_tm310461,tm310461,1
1_tm290401,tm290401,1
1_tm345225,tm345225,1
1_tm838042,tm838042,1
1_tm234410,tm234410,1
1_tm937230,tm937230,1
1_ts77466,ts77466,1
1_tm324148,tm324148,1
1_tm1034602,tm1034602,1
1_ts16101,ts16101,1
1_tm36879,tm36879,1
1_tm121666,tm121666,1
1_tm353416,tm353416,1
1_ts15754,ts15754,1
1_tm893407,tm893407,1
1_ts290388,ts290388,1
1_tm310719,tm310719,1
1_tm334881,tm334881,1
1_ts238953,ts238953,1
1_tm211670,tm211670,1
1_tm81445,tm81445,1
1_tm81897,tm81897,1
1_tm26948,tm26948,1
1_tm82931,tm82931,1
1_tm371,tm371,1
1_tm1088258,tm1088258,1
1_tm324384,tm324384,1
1_tm324276,tm324276,1
